,winner_name,subject,year,url
135,George Whipple;George Minot;William P. Murphy,Physiologyor Medicine,1934,/wiki/George_Minot
136,Luigi Pirandello,Literature,1934,/wiki/William_P._Murphy
137,James Chadwick,Physics,1935,/wiki/James_Chadwick
138,Frédéric Joliot-Curie;Irène Joliot-Curie,Chemistry,1935,/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie
139,Hans Spemann,Physiologyor Medicine,1935,/wiki/Ir%C3%A8ne_Joliot-Curie
140,None,Literature,1935,/wiki/Hans_Spemann
141,Victor Francis Hess;Carl David Anderson,Physics,1936,/wiki/Victor_Francis_Hess
142,Peter Debye,Chemistry,1936,/wiki/Carl_David_Anderson
143,Henry Hallett Dale;Otto Loewi,Physiologyor Medicine,1936,/wiki/Peter_Debye
144,Eugene O'Neill,Literature,1936,/wiki/Henry_Hallett_Dale
145,Clinton Davisson;George Paget Thomson,Physics,1937,/wiki/Clinton_Davisson
146,Norman Haworth;Paul Karrer,Chemistry,1937,/wiki/George_Paget_Thomson
147,Albert Szent-Györgyi,Physiologyor Medicine,1937,/wiki/Norman_Haworth
148,Roger Martin du Gard,Literature,1937,/wiki/Paul_Karrer
149,Enrico Fermi,Physics,1938,/wiki/Enrico_Fermi
150,Richard Kuhn[b],Chemistry,1938,/wiki/Richard_Kuhn
151,Corneille Heymans,Physiologyor Medicine,1938,#cite_note-A-15
152,Pearl S. Buck,Literature,1938,/wiki/Corneille_Heymans
153,Ernest Lawrence,Physics,1939,/wiki/Ernest_Lawrence
154,Adolf Butenandt;[b]Leopold Ružička,Chemistry,1939,/wiki/Adolf_Butenandt
155,Gerhard Domagk[b],Physiologyor Medicine,1939,#cite_note-A-15
156,Frans Eemil Sillanpää,Literature,1939,/wiki/Leopold_Ru%C5%BEi%C4%8Dka
157,Otto Stern,Physics,1943,/wiki/Otto_Stern
158,George de Hevesy,Chemistry,1943,/wiki/George_de_Hevesy
159,Henrik Dam;Edward Adelbert Doisy,Physiologyor Medicine,1943,/wiki/Henrik_Dam
160,None,Literature,1943,
161,Isidor Isaac Rabi,Physics,1944,/wiki/Isidor_Isaac_Rabi
162,Otto Hahn,Chemistry,1944,/wiki/Otto_Hahn
163,Joseph Erlanger;Herbert Spencer Gasser,Physiologyor Medicine,1944,/wiki/Joseph_Erlanger
164,Johannes V. Jensen,Literature,1944,/wiki/Herbert_Spencer_Gasser
165,Wolfgang Pauli,Physics,1945,/wiki/Wolfgang_Pauli
166,Artturi Ilmari Virtanen,Chemistry,1945,/wiki/Artturi_Ilmari_Virtanen
167,Alexander Fleming;Ernst Chain;Howard Florey,Physiologyor Medicine,1945,/wiki/Alexander_Fleming
168,Gabriela Mistral,Literature,1945,/wiki/Ernst_Chain
169,Percy Williams Bridgman,Physics,1946,/wiki/Percy_Williams_Bridgman
170,James B. Sumner;John Howard Northrop;Wendell Meredith Stanley,Chemistry,1946,/wiki/James_B._Sumner
171,Hermann Joseph Muller,Physiologyor Medicine,1946,/wiki/John_Howard_Northrop
172,Hermann Hesse,Literature,1946,/wiki/Wendell_Meredith_Stanley
173,Edward Victor Appleton,Physics,1947,/wiki/Edward_Victor_Appleton
174,Robert Robinson,Chemistry,1947,/wiki/Robert_Robinson_(organic_chemist)
175,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,Physiologyor Medicine,1947,/wiki/Carl_Ferdinand_Cori
176,André Gide,Literature,1947,/wiki/Gerty_Cori
177,Patrick Blackett,Physics,1948,/wiki/Patrick_Blackett
178,Arne Tiselius,Chemistry,1948,/wiki/Arne_Tiselius
179,Paul Hermann Müller,Physiologyor Medicine,1948,/wiki/Paul_Hermann_M%C3%BCller
180,T. S. Eliot,Literature,1948,/wiki/T._S._Eliot
181,Hideki Yukawa,Physics,1949,/wiki/Hideki_Yukawa
182,William Giauque,Chemistry,1949,/wiki/William_Giauque
183,Walter Rudolf Hess;António Egas Moniz,Physiologyor Medicine,1949,/wiki/Walter_Rudolf_Hess
184,William Faulkner,Literature,1949,/wiki/Ant%C3%B3nio_Egas_Moniz
185,C. F. Powell,Physics,1950,/wiki/C._F._Powell
186,Otto Diels;Kurt Alder,Chemistry,1950,/wiki/Otto_Diels
187,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,Physiologyor Medicine,1950,/wiki/Kurt_Alder
188,Bertrand Russell,Literature,1950,/wiki/Philip_Showalter_Hench
189,John Cockcroft;Ernest Walton,Physics,1951,/wiki/John_Cockcroft
190,Edwin McMillan;Glenn T. Seaborg,Chemistry,1951,/wiki/Ernest_Walton
191,Max Theiler,Physiologyor Medicine,1951,/wiki/Edwin_McMillan
192,Pär Lagerkvist,Literature,1951,/wiki/Glenn_T._Seaborg
193,Felix Bloch;Edward Mills Purcell,Physics,1952,/wiki/Felix_Bloch
194,Archer Martin;Richard Laurence Millington Synge,Chemistry,1952,/wiki/Edward_Mills_Purcell
195,Selman Waksman,Physiologyor Medicine,1952,/wiki/Archer_Martin
196,François Mauriac,Literature,1952,/wiki/Richard_Laurence_Millington_Synge
197,Frits Zernike,Physics,1953,/wiki/Frits_Zernike
198,Hermann Staudinger,Chemistry,1953,/wiki/Hermann_Staudinger
